Code,CamId,Name,Location,Type,Publish,Management Unit,CamStatus,PTZ,Angle,DisplayName,VideoUrl,VideoStreaming,StartTime,EndTime
TTH 38.6,587c8661b807da0011e33d43,TTH 38.6,"[10.7999683420367, 106.660519838333]",tth,True,,UP,False,45,Lê Văn Sỹ - Hoàng Văn Thụ,,0,5/20/17 11:14,11/6/25 12:50
TTH 133,5b632a79fd4edb0019c7dc0f,TTH 133,"[10.7524240581789, 106.669510602951]",tth,True,,UP,False,345,Nguyễn Tri Phương - Trần Hưng Đạo,,0,8/3/18 7:05,11/19/25 21:56
TTH 306,662a87a41afb9c00172d24e9,TTH 306,"[10.7617258747396, 106.569678783417]",tth,True,,UP,True,,Trần Văn Giàu - Tỉnh Lộ 10,,0,4/29/24 14:03,11/18/25 17:23
TTH 21.65,595dd4133dcfc400106f28a9,TTH 21.65,"[10.8619616916798, 106.671023368835]",tth,True,,UP,False,105,Quốc lộ 1 - Đường Tô Ngọc Vân 2,,0,7/21/18 7:03,11/5/25 19:40
TTH 125.1,5ad0644698d8fc001102e26b,TTH 125.1,"[10.82640375746, 106.806828975677]",tth,True,,UP,False,315,Lã Xuân Oai - Cầu Tăng Long (1),,0,4/19/18 7:29,11/20/25 10:20
TTH 369,662b5b8c1afb9c00172d92ca,TTH 369,"[10.7884439432433, 106.617207527161]",tth,True,,UP,True,,Bình Long - Lê Thúc Hoạch,,0,4/29/24 14:02,11/18/25 16:47
TTH 151,5d8cd7bb766c880017188952,TTH 151,"[10.8289275670072, 106.722747087479]",tth_axis,True,,NOT_IMAGE,False,255,Phạm Văn Đồng - Đường 20 (hướng đi Thủ Đức),,0,12/10/19 9:15,10/16/25 20:39
TTH 455,68188e8d6dfb4b0018f9038b,TTH 455,"[10.8462459116556, 106.52880191803]",tth,True,,UP,False,15,Thanh Niên - gần trung tâm kiểm định giống cây,,0,5/5/25 17:21,11/19/25 22:42
TTH 27,56df857fc062921100c143e7,TTH 27,"[10.8026451853041, 106.663454174995]",tth,True,Management Center of Sai Gon River Tunnel,NOT_IMAGE,False,45,Trần Quốc Hoàn - Phan Thúc Duyện,http://camera.thongtingiaothong.vn/s/56df857fc062921100c143e7/index.m3u8,1,5/20/17 11:14,8/17/23 9:36
TTH 36.3,58af9a07bd82540010390c3b,TTH 36.3,"[10.7852927046947, 106.703263521194]",tth,True,,UP,False,240,Tôn Đức Thắng - Lê Duẩn,,0,5/20/17 11:14,10/18/25 7:41
TTH 181.1,63ae75debfd3d90017e8f082,TTH 181.1,"[10.7685031082248, 106.683892607689]",tth,True,,UP,False,,Cao Thắng – Võ Văn Tần 1,,0,12/30/22 13:00,7/3/25 13:34
TTH 276,6623eb466f998a001b252632,TTH 276,"[10.8536955999934, 106.679220199585]",tth,True,,UP,True,,Hà Huy Giáp - An Lộc,,0,4/29/24 14:03,11/18/25 17:24
TTH 115.1,5a824dc05058170011f6eab2,TTH 115.1,"[10.8366042431825, 106.658180952072]",tth,True,,UP,False,120,Quang Trung - Lê Văn Thọ (1),,0,2/22/18 7:04,11/15/25 11:40
TTH 144,5d8cd49f766c880017188944,TTH 144,"[10.7547007899372, 106.669499874115]",tth_axis,True,,NOT_IMAGE,False,180,Nguyễn Tri Phương - Nguyễn Trãi,,0,12/10/19 9:15,11/17/25 22:41
TTH 393,662b836d1afb9c00172dcfa0,TTH 393,"[10.7873373247725, 106.704819202423]",tth,True,,UP,True,,Lê Duẩn - Nguyễn Bỉnh Khiêm,,0,4/29/24 14:03,11/18/25 17:28
TTH 21.16,5a606c078576340017d06624,TTH 21.16,"[10.8495545656016, 106.718916893005]",tth,True,,UP,False,15,Quốc lộ 13 - Hiệp Bình,,0,1/19/18 7:00,10/23/25 6:10
ITS 1.2,5deb576d1dc17d7c5515acf3,ITS 1.2,"[10.768198, 106.668459]",tth,True,,UP,True,,Ba Tháng Hai - Lý Thái Tổ,,0,12/10/19 9:16,11/18/25 16:49
TTH 108.1,5a8254b05058170011f6eac3,TTH 108.1,"[10.809674419948, 106.712254285812]",tth,True,,UP,False,15,Xô Viết Nghệ Tĩnh - Nguyễn Xí 1,,0,2/22/18 7:04,10/23/25 6:10
TTH 343,662b50c11afb9c00172d8843,TTH 343,"[10.7517441974476, 106.624084711075]",tth,True,,UP,True,,An Dương Vương - Đường số 7,,0,4/29/24 14:03,11/18/25 17:10
TTH 188.1,63ae77bfbfd3d90017e8f18f,TTH 188.1,"[10.757040746338, 106.717768907547]",tth,True,,UP,True,,Nguyễn Tất Thành - Cầu Tân Thuận 2,,0,12/30/22 13:00,11/2/25 8:50
TTH 301,6623f51a6f998a001b252900,TTH 301,"[10.8403450366927, 106.716363430023]",tth,True,,UP,True,,Quốc Lộ 13 - Nguyễn Thị Nhung,,0,4/29/24 14:02,11/18/25 17:22
ITS 9.1,5deb576d1dc17d7c5515ad1b,ITS 9.1,"[10.761236, 106.700404]",tth,True,,NOT_IMAGE,True,,Hoàng Diệu - Cầu Ông Lãnh,,0,12/10/19 9:14,5/20/24 10:51
